148	Maryville (TN)	maryville-tn	http://www.sports-reference.com/cfb/schools/maryville-tn/	1906	1907	2	13	3	8	2	.308	0	0	0	0		-9.89	0.71	0	0	
149	Massachusetts	massachusetts	http://www.sports-reference.com/cfb/schools/massachusetts/	1882	2015	18	155	52	97	6	.355	0	0	0	0		-7.68	-2.12	0	0	
150	McNeese State	mcneese-state	http://www.sports-reference.com/cfb/schools/mcneese-state/	1975	1981	7	80	57	21	2	.725	3	1	2	0	.333	-1.17	-7.87	0	3	
151	Memphis	memphis	http://www.sports-reference.com/cfb/schools/memphis/	1960	2015	56	611	283	320	8	.470	7	4	3	0	.571	-1.27	-1.43	1	4	W-L-T adjusted to 284-319-8 by NCAA.
152	Mercer	mercer	http://www.sports-reference.com/cfb/schools/mercer/	1909	1936	15	138	56	73	9	.438	0	0	0	0		-3.92	-2.03	0	0	
153	Merchant Marine	merchant-marine	http://www.sports-reference.com/cfb/schools/merchant-marine/	1945	1947	3	30	11	19	0	.367	0	0	0	0		-13.88	-8.32	0	0	
154	Miami (FL)	miami-fl	http://www.sports-reference.com/cfb/schools/miami-fl/	1936	2015	79	869	550	307	12	.640	35	18	17	0	.514	9.19	3.80	30	9	
155	Miami (OH)	miami-oh	http://www.sports-reference.com/cfb/schools/miami-oh/	1962	2015	54	598	331	252	15	.566	8	5	3	0	.625	-3.55	-5.90	4	9	W-L-T adjusted to 332-251-15 by NCAA.
156	Michigan	michigan	http://www.sports-reference.com/cfb/schools/michigan/	1881	2015	126	1248	892	321	35	.729	43	20	23	0	.465	13.90	5.21	57	42	
157	Michigan State	michigan-state	http://www.sports-reference.com/cfb/schools/michigan-state/	1918	2015	91	937	550	357	30	.603	24	10	14	0	.417	9.58	4.94	25	8	W-L-T adjusted to 545-362-30 by NCAA.
158	Middle Tennessee State	middle-tennessee-state	http://www.sports-reference.com/cfb/schools/middle-tennessee-state/	1999	2015	17	195	93	102	0	.477	4	1	3	0	.250	-5.45	-4.85	0	2	
159	Millsaps	millsaps	http://www.sports-reference.com/cfb/schools/millsaps/	1924	1924	1	9	3	5	1	.389	0	0	0	0		-10.12	-7.78	0	0	
160	Minnesota	minnesota	http://www.sports-reference.com/cfb/schools/minnesota/	1892	2015	124	1187	655	490	42	.570	17	5	12	0	.294	8.49	5.10	14	18	
161	Mississippi	mississippi	http://www.sports-reference.com/cfb/schools/mississippi/	1902	2015	110	1135	619	482	34	.560	36	23	13	0	.639	5.01	2.84	24	6	W-L-T adjusted to 623-478-34 by NCAA.
